@relation suicide_predicted

@attribute country {Albania,Brazil,Germany,Iceland,Italy,'United States'}
@attribute year numeric
@attribute sex {male,female}
@attribute age {'55-74 years','35-54 years','25-34 years'}
@attribute suicides_no numeric
@attribute population numeric
@attribute 'suicides/100k pop' numeric
@attribute country-year {Albania2010,Brazil2010,Brazil2012,Brazil2013,Brazil2014,Brazil2015,Germany2012,Germany2013,Germany2014,Germany2015,Iceland2012,Iceland2013,Iceland2014,Iceland2015,Iceland2016,Italy2013,Italy2014,Italy2015,'United States2013','United States2014','United States2015'}
@attribute 'HDI for year' numeric
@attribute ' gdp_for_year ($) ' {'11,926,953,259','2,208,871,646,203','2,465,188,674,415','2,472,806,919,902','2,455,993,625,159','1,802,214,373,741','3,543,983,909,148','3,752,513,503,278','3,890,606,893,347','3,375,611,100,742','14,292,008,745','15,548,321,544','17,304,033,021','16,942,247,374','20,304,098,101','2,130,491,320,659','2,151,732,868,243','1,832,868,490,534','16,691,517,000,000','17,427,609,000,000','18,120,714,000,000'}
@attribute 'gdp_per_capita ($)' numeric
@attribute 'prediction margin' numeric
@attribute 'predicted generation' {Silent,'Generation X',Boomers}
@attribute generation {Silent,'Generation X',Boomers}

@data
Albania,2010,male,'55-74 years',20,241852,8.27,Albania2010,0.722,'11,926,953,259',4359,1,Silent,Silent
Albania,2010,male,'35-54 years',20,371611,5.38,Albania2010,0.722,'11,926,953,259',4359,1,'Generation X','Generation X'
Albania,2010,male,'25-34 years',9,179720,5.01,Albania2010,0.722,'11,926,953,259',4359,0.999998,'Generation X','Generation X'
Albania,2010,female,'25-34 years',6,183579,3.27,Albania2010,0.722,'11,926,953,259',4359,0.999998,'Generation X','Generation X'
Albania,2010,female,'35-54 years',12,394593,3.04,Albania2010,0.722,'11,926,953,259',4359,1,'Generation X','Generation X'
Brazil,2010,male,'25-34 years',1832,17023785,10.76,Brazil2010,0.737,'2,208,871,646,203',12161,0.999983,'Generation X','Generation X'
Brazil,2010,male,'35-54 years',2586,24501254,10.55,Brazil2010,0.737,'2,208,871,646,203',12161,0.999999,'Generation X','Generation X'
Brazil,2010,female,'35-54 years',835,26004856,3.21,Brazil2010,0.737,'2,208,871,646,203',12161,0.999999,'Generation X','Generation X'
Brazil,2010,female,'25-34 years',404,17054489,2.37,Brazil2010,0.737,'2,208,871,646,203',12161,0.999987,'Generation X','Generation X'
Brazil,2012,male,'55-74 years',1458,11612925,12.55,Brazil2012,0.746,'2,465,188,674,415',13283,0.790059,Boomers,Boomers
Brazil,2012,male,'35-54 years',2885,25463652,11.33,Brazil2012,0.746,'2,465,188,674,415',13283,0.995733,'Generation X','Generation X'
