@relation suicide-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0

@attribute country {Albania,Brazil,Germany,Iceland,Italy,'United States'}
@attribute year numeric
@attribute sex {male,female}
@attribute age {'55-74 years','35-54 years','25-34 years'}
@attribute suicides_no numeric
@attribute population numeric
@attribute 'suicides/100k pop' numeric
@attribute country-year {Albania2010,Brazil2010,Brazil2012,Brazil2013,Brazil2014,Brazil2015,Germany2012,Germany2013,Germany2014,Germany2015,Iceland2012,Iceland2013,Iceland2014,Iceland2015,Iceland2016,Italy2013,Italy2014,Italy2015,'United States2013','United States2014','United States2015'}
@attribute 'HDI for year' numeric
@attribute ' gdp_for_year ($) ' {'11,926,953,259','2,208,871,646,203','2,465,188,674,415','2,472,806,919,902','2,455,993,625,159','1,802,214,373,741','3,543,983,909,148','3,752,513,503,278','3,890,606,893,347','3,375,611,100,742','14,292,008,745','15,548,321,544','17,304,033,021','16,942,247,374','20,304,098,101','2,130,491,320,659','2,151,732,868,243','1,832,868,490,534','16,691,517,000,000','17,427,609,000,000','18,120,714,000,000'}
@attribute 'gdp_per_capita ($)' numeric
@attribute generation {Silent,'Generation X',Boomers}

@data
Brazil,2010,male,'35-54 years',2586,24501254,10.55,Brazil2010,0.737,'2,208,871,646,203',12161,'Generation X'
Iceland,2012,male,'35-54 years',8,42696,18.74,Iceland2012,0.897,'14,292,008,745',48083,'Generation X'
'United States',2015,female,'35-54 years',4053,41531809,9.76,'United States2015',?,'18,120,714,000,000',60387,'Generation X'
Italy,2013,female,'35-54 years',335,9372465,3.57,Italy2013,0.873,'2,130,491,320,659',37050,'Generation X'
Albania,2010,male,'35-54 years',20,371611,5.38,Albania2010,0.722,'11,926,953,259',4359,'Generation X'
Germany,2012,male,'35-54 years',2408,12515919,19.24,Germany2012,0.915,'3,543,983,909,148',45142,'Generation X'
Brazil,2010,male,'25-34 years',1832,17023785,10.76,Brazil2010,0.737,'2,208,871,646,203',12161,'Generation X'
Brazil,2014,male,'35-54 years',3050,26475231,11.52,Brazil2014,0.755,'2,455,993,625,159',12975,'Generation X'
'United States',2015,male,'35-54 years',11634,41658010,27.93,'United States2015',?,'18,120,714,000,000',60387,'Generation X'
Italy,2014,male,'35-54 years',1123,9296191,12.08,Italy2014,0.873,'2,151,732,868,243',37035,'Generation X'
Iceland,2013,female,'35-54 years',5,42524,11.76,Iceland2013,0.899,'15,548,321,544',51749,'Generation X'
Iceland,2013,female,'35-54 years',5,42524,11.76,Iceland2013,0.899,'15,548,321,544',51749,'Generation X'
'United States',2013,female,'35-54 years',3776,41983845,8.99,'United States2013',0.913,'16,691,517,000,000',56520,'Generation X'
Albania,2010,female,'35-54 years',12,394593,3.04,Albania2010,0.722,'11,926,953,259',4359,'Generation X'
Germany,2014,male,'35-54 years',2444,11949414,20.45,Germany2014,0.916,'3,890,606,893,347',50167,'Generation X'
Iceland,2013,male,'35-54 years',12,42535,28.21,Iceland2013,0.899,'15,548,321,544',51749,'Generation X'
Albania,2010,male,'35-54 years',20,371611,5.38,Albania2010,0.722,'11,926,953,259',4359,'Generation X'
Germany,2012,male,'35-54 years',2408,12515919,19.24,Germany2012,0.915,'3,543,983,909,148',45142,'Generation X'
Germany,2013,male,'35-54 years',2423,12049310,20.11,Germany2013,0.915,'3,752,513,503,278',48563,'Generation X'
